El Cubo,,
,DiezMil Hojas
,Oriental Wok
,La Stagione
,La Vuelta
,El Canibal
,Verde Lim�_n
,La Fondita
La Terraza,,
,Taquer�_a
,Antojitos Caseros
,Crepas
,Paninis
,sushi
Society Caf̩,,
,Frappes
,Pasteles
,Caf̩ y Te
,Para Comer
La Karpa,,
,Paninis
,Crepas Dulces
,Crepas Saladas
,Caf̩ Zembu
,Jugos Combinados
,T̩ Zembu
,Licuados & Crushes
,Desayunos
,Comidas
Capeltic,,
,Los Frapp̩s
,Lo Refrescante
,Lo Caliente
,Lo Frao
